pyenv-virtualenv: prompt changing will be removed from future release. configure `export PYENV_VIRTUALENV_DISABLE_PROMPT=1' to simulate the behavior.
Train Epoch: 1 [0/60000 (0%)]	Loss: 1.969376 0.90625
Train Epoch: 1 [2560/60000 (4%)]	Loss: 1.965720 0.90625
Train Epoch: 1 [5120/60000 (9%)]	Loss: 1.930101 0.875
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.925779 0.90625
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.384697 0.921875
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.410341 0.90625
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.585515 0.859375
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.454104 0.890625
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.639884 0.84375
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.635264 0.84375
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.199708 0.953125
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.322096 0.921875
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.134160 0.96875
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.257309 0.9375
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.318673 0.921875
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.505055 0.875
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.442481 0.890625
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.504223 0.875
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.254642 0.9375
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.378767 0.90625
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.253967 0.9375
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.315763 0.921875
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.315561 0.921875
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.627502 0.84375
====> Epoch: 1 Average loss: 0.5984

Test set: Average loss: 25.8784, Accuracy: (90%)

Train Epoch: 2 [0/60000 (0%)]	Loss: 0.502670 0.875
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.564704 0.859375
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.502247 0.875
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.814151 0.796875
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.439542 0.890625
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.439448 0.890625
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.501720 0.875
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.439197 0.890625
