pyenv-virtualenv: prompt changing will be removed from future release. configure `export PYENV_VIRTUALENV_DISABLE_PROMPT=1' to simulate the behavior.
Train Epoch: 4 [15360/60000 (26%)]	Loss: 0.438306 0.890625
Train Epoch: 4 [17920/60000 (30%)]	Loss: 0.563200 0.859375
Train Epoch: 4 [20480/60000 (34%)]	Loss: 0.250823 0.9375
Train Epoch: 4 [23040/60000 (38%)]	Loss: 0.438208 0.890625
Train Epoch: 4 [25600/60000 (43%)]	Loss: 0.625641 0.84375
Train Epoch: 4 [28160/60000 (47%)]	Loss: 0.125822 0.96875
Train Epoch: 4 [30720/60000 (51%)]	Loss: 0.313199 0.921875
Train Epoch: 4 [33280/60000 (55%)]	Loss: 0.438132 0.890625
Train Epoch: 4 [35840/60000 (60%)]	Loss: 0.500587 0.875
Train Epoch: 4 [38400/60000 (64%)]	Loss: 0.375619 0.90625
Train Epoch: 4 [40960/60000 (68%)]	Loss: 0.438079 0.890625
Train Epoch: 4 [43520/60000 (72%)]	Loss: 0.125690 0.96875
Train Epoch: 4 [46080/60000 (77%)]	Loss: 0.313103 0.921875
Train Epoch: 4 [48640/60000 (81%)]	Loss: 0.313075 0.921875
Train Epoch: 4 [51200/60000 (85%)]	Loss: 0.500508 0.875
Train Epoch: 4 [53760/60000 (90%)]	Loss: 0.438013 0.890625
Train Epoch: 4 [56320/60000 (94%)]	Loss: 0.313031 0.921875
Train Epoch: 4 [58880/60000 (98%)]	Loss: 0.313006 0.921875
====> Epoch: 4 Average loss: 0.3973

Test set: Average loss: 25.7385, Accuracy: (90%)

Train Epoch: 5 [0/60000 (0%)]	Loss: 0.437989 0.890625
Train Epoch: 5 [2560/60000 (4%)]	Loss: 0.375500 0.90625
Train Epoch: 5 [5120/60000 (9%)]	Loss: 0.250518 0.9375
Train Epoch: 5 [7680/60000 (13%)]	Loss: 0.437942 0.890625
Train Epoch: 5 [10240/60000 (17%)]	Loss: 0.437937 0.890625
Train Epoch: 5 [12800/60000 (21%)]	Loss: 0.437938 0.890625
Train Epoch: 5 [15360/60000 (26%)]	Loss: 0.437911 0.890625
Train Epoch: 5 [17920/60000 (30%)]	Loss: 0.437889 0.890625
Train Epoch: 5 [20480/60000 (34%)]	Loss: 0.500398 0.875
Train Epoch: 5 [23040/60000 (38%)]	Loss: 0.187949 0.953125
Train Epoch: 5 [25600/60000 (43%)]	Loss: 0.437873 0.890625
